Title,Location,Company,Salary,,SearchURL,URL,SQL,Hadoop,Oracle,Excel,Teradata,DB2,Qlik,SAS,Agile,Scrum,Statistics,PowerPoint,Python,Matlab,SQL Server,SSRS,ETL
Big Data Tech Lead,"San Jose, CA",Scalable Systems,Market,FALSE,,https://www.dice.com/jobs/detail/Big-Data-Tech-Lead-Scalable-Systems-San-Jose-CA-95002/10121745/309540?icid=sr286-10p&q=Tableau&l=,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Scientist,"Auburn Hills, MI",Systems Technology Group Inc. (STG),Negotiable,FALSE,,https://www.dice.com/jobs/detail/Data-Scientist-Systems-Technology-Group-Inc.-%28STG%29-Auburn-Hills-MI-48326/10124418/DSCHR1211115?icid=sr287-10p&q=Tableau&l=,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DW Architect,"Hoffman Estates, IL","Primesoft, Inc",Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/DW-Architect-Primesoft%2C-Inc-Hoffman-Estates-IL-60192/10113499/DW0116?icid=sr288-10p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Hadoop Consultant,"Philadelphia, PA",Inteletech Global Inc,Telecommuting not available,FALSE,,https://www.dice.com/jobs/detail/Hadoop-Consultant-Inteletech-Global-Inc-Philadelphia-PA-19019/90750146/JPC-28-11367?icid=sr290-10p&q=Tableau&l=,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Capital Markets BA,"New York, NY",Collabera,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Capital-Markets-BA-Collabera-New-York-NY-10001/10208346L/7540_CM_NY?icid=sr291-10p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sr Data Engineer,"San Francisco, CA","Clarity Solution Group, LLC",Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Sr-Data-Engineer-Clarity-Solution-Group%2C-LLC-San-Francisco-CA-94101/10125850/356341?icid=sr292-10p&q=Tableau&l=,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ETL Developer,"Fremont, CA",SRS Consulting Inc,competitive,FALSE,,https://www.dice.com/jobs/detail/ETL-Developer-SRS-Consulting-Inc-Fremont-CA-94538/10124308/353560?icid=sr297-10p&q=Tableau&l=,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sr. Business Data Analyst,"Philadelphia, PA",Tabner Inc,Market,FALSE,,https://www.dice.com/jobs/detail/Sr.-Business-Data-Analyst-Tabner-Inc-Philadelphia-PA-19019/10364875/360272?icid=sr299-10p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Data Analytics,"Duluth, GA","Charter Global, Inc.",Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Data-Analytics-Charter-Global%2C-Inc.-Duluth-GA-30026/chartpro/Analytic_307?icid=sr300-10p&q=Tableau&l=,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Business Intelligence Engineer,"Philadelphia, PENNSYLVANIA",Design Strategy Corporation,Negotiable,FALSE,,https://www.dice.com/jobs/detail/Business-Intelligence-Engineer-Design-Strategy-Corporation-Philadelphia-PENNSYLVANIA-/designnj1/15273?icid=sr331-12p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Qliktech Developer,"San Francisco, CA",MatchPoint Solutions,Negotiable,FALSE,,https://www.dice.com/jobs/detail/Qliktech-Developer-MatchPoint-Solutions-San-Francisco-CA-94101/10230516/QlkdevSFO?icid=sr332-12p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Data Scientist,"Irving, TX",Resolve Tech Solutions (RTS),Negotiable,FALSE,,https://www.dice.com/jobs/detail/Data-Scientist-Resolve-Tech-Solutions-%28RTS%29-Irving-TX-75039/10368525a/RTS36018?icid=sr333-12p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Analytics Engineer,"Portland, OR",Mainz Brady Group,Negotiable,FALSE,,https://www.dice.com/jobs/detail/Analytics-Engineer-Mainz-Brady-Group-Portland-OR-97211/10114266/KRTER?icid=sr334-12p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Business Data Analyst (Web Analytics) - 434008),"San Diego, CA",434008),Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Business-Data-Analyst-%28Web-Analytics%29-%26%2345-434008%29-OUTSOURCE-Consulting-Services%2C-Inc-San-Diego-CA-92129/ocs/299893?icid=sr335-12p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SAP BI HANA Consultant,"Westbrook, ME","ICST, LLC",Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/SAP-BI-HANA-Consultant-ICST%2C-LLC-Westbrook-ME-04092/cst/354783?icid=sr336-12p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Business Analyst,"Raleigh, NC",Buxton Consulting,open,FALSE,,https://www.dice.com/jobs/detail/Business-Analyst-Buxton-Consulting-Raleigh-NC-27601/buxton/BARTP?icid=sr337-12p&q=Tableau&l=,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sr. BI Analyst with Pharma/Biotech/Life Sciences,"Redwood City, CA",Cystems Logic,$0 ,TRUE,,https://www.dice.com/jobs/detail/Sr.-BI-Analyst-with-Pharma%26%2347Biotech%26%2347Life-Sciences-Cystems-Logic-Redwood-City-CA-94063/10205791/362074?icid=sr338-12p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AML/KYC Business/Data Analyst,"Riverwoods, IL",Make Corporation,MARKET,FALSE,,https://www.dice.com/jobs/detail/AML%26%2347KYC-Business%26%2347Data-Analyst-Make-Corporation-Riverwoods-IL-60015/makecorp/TS-aDF2?icid=sr340-12p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Level 3 Teradata / SAS - Data/Information Analyst,"Richmond, VA",Data/Information Analyst,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Level-3-Teradata-%26%2347-SAS-%26%2345-Data%26%2347Information-Analyst-ICONMA-Richmond-VA-23238/iconma/L3TDSAS?icid=sr343-12p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BI Analyst/Business Intelligence Analyst,"Queensbury, NY",Gracenote,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/BI-Analyst%26%2347Business-Intelligence-Analyst-Gracenote-Queensbury-NY-12804/RTX147018/329722?icid=sr344-12p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
DW Developer - ETL Architect,"San Diego, CA",ETL Architect,Annual,FALSE,,https://www.dice.com/jobs/detail/DW-Developer-%26%2345-ETL-Architect-Human-Longevity-San-Diego-CA-92121/90884769/338628?icid=sr346-12p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Business Analyst / Data Analyst -- Advanced Analytics,"San Jose, CA",,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Business-Analyst-%26%2347-Data-Analyst-%26%2345%26%2345-Advanced-Analytics-Pull-Skill-Technologies-San-Jose-CA-95101/90922281/332866?icid=sr348-12p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Warehouse Architect/Tech Lead,"Charlotte, NC","DataEdge Consulting, Inc.",Negotiable,FALSE,,https://www.dice.com/jobs/detail/Data-Warehouse-Architect%26%2347Tech-Lead-DataEdge-Consulting%2C-Inc.-Charlotte-NC-28217/90907313/357569?icid=sr349-12p&q=Tableau&l=,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Business Intelligence Practice Manager & BI Developer opportunities,"Wayne, PA",Fidato Partners,"70,000-150,000",FALSE,,https://www.dice.com/jobs/detail/Business-Intelligence-Practice-Manager-%26-BI-Developer-opportunities-Fidato-Partners-Wayne-PA-19087/10420902/891969?icid=sr350-12p&q=Tableau&l=,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Principal Data Analytics Analyst - w/ a Chicago Fast-Fifty Co,"Chicago, IL",w/ a Chicago Fast,"$120,000 - $175,000",FALSE,,https://www.dice.com/jobs/detail/Principal-Data-Analytics-Analyst-%26%2345-w%26%2347-a-Chicago-Fast%26%2345Fifty-Co-CyberCoders-Chicago-IL-60290/cybercod/RT1-12582161?icid=sr351-12p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Full Stack Engineer - Relo Offered - work at the beach,"Santa Monica, CA",Relo Offered,Unspecified,FALSE,,https://www.dice.com/jobs/detail/Senior-Full-Stack-Engineer-%26%2345-Relo-Offered-%26%2345-work-at-the-beach-CyberCoders-Santa-Monica-CA-90401/cybercod/JN1-12551362?icid=sr352-12p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Oracle Tech Lead with BI experience - Perm - Charlotte, NC","Charlotte, NC",Perm,pending experience,FALSE,,https://www.dice.com/jobs/detail/Oracle-Tech-Lead-with-BI-experience-%26%2345-Perm-%26%2345-Charlotte%2C-NC-Trade-Street-Consulting-Charlotte-NC-28269/10290091/347965?icid=sr353-12p&q=Tableau&l=,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Data Analyst / Business Systems Analyst,"Bethpage, NY",Test Force,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Data-Analyst-%26%2347-Business-Systems-Analyst-Test-Force-Bethpage-NY-11714/TESTFORC/293?icid=sr354-12p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Scientist / Data Analyst,"Dearborn, MI",Systems Technology Group Inc. (STG),Negotiable,FALSE,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2347-Data-Analyst-Systems-Technology-Group-Inc.-%28STG%29-Dearborn-MI-48126/10124418/DataScient?icid=sr355-12p&q=Tableau&l=,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Business Analyst/Data Analyst- Performance & Analysis,"Eagan, MN",Performance & Analysis,55-60,FALSE,,https://www.dice.com/jobs/detail/Business-Analyst%26%2347Data-Analyst%26%2345-Performance-%26-Analysis-Mindlance-Eagan-MN-55120/10114908c/Meena-0025?icid=sr356-12p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
